Asset Class,Alternative Investments Blended generic/Other,Alternative Investments Capital leasing,Alternative Investments Direct lending,Alternative Investments Growth Focused,Alternative Investments Income Generating,Alternative Investments Private Equity,Alternative Investments Reinsurance,Alternative Investments Structured credit,Bond Proxy,Cash,Commodities,Core Fixed Income Inflation-Protected,Core Fixed Income Liquidity Management,Core Fixed Income Tax Exempt Munis,Core Fixed Income Taxable Corporate,Core Fixed Income Taxable US Government,Equity International Developed,Equity International Emerging,Equity US Dividend Income,Equity US Large Cap,Equity US Mid/Small Cap,Opportunistic Income Bank Loans,Opportunistic Income Diversified,Opportunistic Income Global High Yield Bonds,Opportunistic Income High Yield (Muni),Opportunistic Income Preferred Stock,Opportunistic Income US High Yield Bonds,Real Estate
Alternative Investments Blended generic/Other,1.0,0.595641048518862,0.6023534526810781,0.6100618673320126,0.6443674522540136,0.5666767450414237,0.4500711127643088,0.4664405099749557,0.09936307894070838,0.082953808556355,0.07469973665235456,0.07266096101210048,0.14392493095731318,0.056063370101105806,0.14279445772572985,0.03726827843436341,0.1645542955049923,0.037226949242959134,0.09563102605125041,0.1884387065107143,0.13803673175961648,0.06301850313126464,0.19020937579325986,0.054939576800381085,0.14503693415764904,0.08782184224212332,0.026469451404093656,0.04261127559843725
Alternative Investments Capital leasing,0.595641048518862,1.0,0.4922565167742663,0.5793277379567815,0.45617481266224735,0.46399479496808116,0.6501914616510498,0.6597120512534272,0.1622698925099657,0.032192931804419914,0.02210991695483515,0.09682011279608782,0.1441810797382866,0.02748493029627196,0.18508046792874963,0.08984996697765565,0.1637138045361208,0.037019930049376856,0.09152359523187323,0.026586581875130365,0.1757653309038097,0.01683634145506819,0.16511494182588446,0.03999530090057208,0.05495013001687406,0.05623586148403495,0.03576150818344108,0.0887348779070473
Alternative Investments Direct lending,0.6023534526810781,0.49225651677426624,1.0,0.6308411307407469,0.41016680235358965,0.4309739936979045,0.5686670766712194,0.571104712010909,0.16821528506313954,0.1611762135961107,0.17506214081240107,0.1309571250549125,0.16093890399107885,0.12343663763371936,0.10617166178804936,0.04459394447066732,0.08391772642887861,0.15409358437800322,0.11285150901990189,0.13545198725005544,0.008818380357808301,0.009367949105100732,0.17427379180613345,0.1596460048173597,0.1109980584280638,0.013909573244936158,0.1514989692566396,0.14375222251684971
Alternative Investments Growth Focused,0.6100618673320126,0.5793277379567814,0.6308411307407469,1.0,0.5558066911920659,0.5671469250885112,0.5801458932944357,0.4307963771088155,0.09044892718200624,0.1835839789381281,0.04127479524289676,0.05018550940571957,0.017642148564314796,0.035763533669799806,0.12373794518217793,0.03420997509785842,0.06456353891074651,0.13195767160683566,0.06721400922672258,0.18667989804807097,0.09401331069766986,0.18235210257507065,0.1834709414339202,0.02555998876897648,0.021257868698100323,0.13003035670784188,0.07356565115313654,0.040159949760774485
Alternative Investments Income Generating,0.6443674522540135,0.45617481266224735,0.41016680235358965,0.5558066911920659,1.0,0.5307020542948585,0.6017433714693431,0.4513359749117552,0.03313867896201444,0.02898642340304071,0.14442250464876788,0.032247081076424676,0.11043848457636425,0.10835735518110123,0.16415864050064227,0.10031208782204659,0.1025758580036443,0.04423769085078209,0.020140826695344696,0.09366905569559959,0.1769669652890595,0.051083064091541924,0.1546374783976692,0.1928232530042842,0.008645127201262233,0.15896217161337467,0.111182548104739,0.02722780774543883
Alternative Investments Private Equity,0.5666767450414236,0.46399479496808116,0.43097399369790446,0.5671469250885112,0.5307020542948584,1.0,0.40972772954261316,0.5173542763016461,0.09457005098087203,0.11370770654120577,0.10992015906904026,-0.15709856084529475,-0.13816289449877023,-0.14918524045817336,-0.13332781150824957,-0.18174958407988134,0.6887249832083253,0.663453464032823,0.5855226431339552,0.6950401740664528,0.6836993321212728,0.12529541746639608,0.1213655276496725,0.02144853387326239,0.08563172912063921,0.11891478908514196,0.07282295921718977,0.02286612370286774
Alternative Investments Reinsurance,0.4500711127643088,0.6501914616510499,0.5686670766712194,0.5801458932944357,0.601743371469343,0.4097277295426132,1.0,0.4421114174498597,0.09804438538817513,0.014137964781661034,0.018097567003906957,0.02752396103366504,0.1938218573431259,0.023354286023120546,0.07855504753220406,0.12197479818974179,0.12329388978723306,0.012178071144504012,0.11836627540095283,0.17245817253196208,0.11183083207230833,0.18621369161216483,0.02925224967508373,0.14577563381624675,0.09689912891526828,0.13247075853969345,0.10589725451865982,0.18958717009719744
Alternative Investments Structured credit,0.4664405099749557,0.6597120512534272,0.5711047120109091,0.4307963771088155,0.4513359749117552,0.5173542763016461,0.4421114174498597,1.0,0.06740725229593812,0.13806771487934438,0.1600193809643805,0.1763523371959876,0.1430688515626416,0.03084466286852426,0.16997282621850343,0.0666305817129674,0.19612762572820752,0.06390015083656823,0.13380139567532257,0.022843550724839817,0.08261045213447665,0.14391102071357123,0.14290590625927077,0.0935321472902269,0.09764334641152513,0.01454553134986754,0.1731116677941147,0.1863269011631359
Bond Proxy,0.0993630789407084,0.16226989250996568,0.1682152850631395,0.09044892718200624,0.03313867896201443,0.09457005098087203,0.09804438538817511,0.06740725229593812,1.0,0.12005911639157761,0.19099700967308716,0.15145554094252903,0.03908321104263457,0.06727946835505515,0.06037751102844584,0.18024330468851835,0.1757544392161274,0.1439170419990009,0.04331071053721107,0.1758824848638886,0.06427156618965317,0.175387802325493,0.1323853502352845,0.10079486951435943,0.1746880910810699,0.1858051231641354,0.0731043069528147,0.06671551820573599
Cash,0.08295380855635498,0.03219293180441991,0.16117621359611073,0.1835839789381281,0.02898642340304071,0.11370770654120577,0.014137964781661034,0.1380677148793444,0.12005911639157761,1.0,0.028869839247475087,0.168532947834238,0.12521184952953954,0.07879670570245421,0.07030718674634168,0.15948671995207242,0.07163587545777245,0.17575342562443047,0.041247790390224456,0.12286508726147562,0.12149311670505934,0.05687361215493407,0.03747756106391784,0.03248448509768799,0.00282765083930892,0.15716649470491123,0.046742919178955164,0.0629712047186752
